sombol,Market Cap,Enterprise Value,No. of Shares,P/E,P/B,Face Value,Div. Yield,CASH,DEBT,Promoter Holding,Sales Growth,ROE,ROCE,CASA %,Net Interest Income,Cost To Income %,CAR %,Advances,Operating Revenue,Net Profit
RELIANCE,₹ 1651037.86 Cr.,₹ 1823886.86 Cr.,676.6 Cr.,38.15,3.43,₹ 10,0.33%,₹ 21714 Cr.,₹ 194563 Cr.,50.49%,72.47%,8.63%,8.21%,,,,,,,
TCS,₹ 1281088.77 Cr.,₹ 1267396.77 Cr.,365.91 Cr.,32.76,13.55,₹ 1,1.23%,₹ 13692 Cr.,₹ 0 Cr.,72.30%,17.93%,50.76%,66.74%,,,,,,,
HDFCBANK,₹ 923696.03 Cr.,,557.82 Cr.,21.93,3.45,₹ 1,0.94%,,,25.60%,,16.67%,14.62%,48.17,₹ 72009.59 Cr.,36.88,18.9,,,
INFY,₹ 656905.52 Cr.,₹ 644635.52 Cr.,414.77 Cr.,29.14,8.23,₹ 5,1.96%,₹ 12270 Cr.,₹ 0 Cr.,15.11%,20.98%,30.37%,40.65%,,,,,,,
ICICIBANK,₹ 602207.21 Cr.,,698.09 Cr.,20.21,3.21,₹ 2,0.58%,,,0%,,14.99%,14.01%,48.7,₹ 47466.09 Cr.,40.52,19.16,,,
HINDUNILVR,₹ 591039.68 Cr.,₹ 587421.68 Cr.,234.96 Cr.,60.7,11.44,₹ 1,1.35%,₹ 3618 Cr.,₹ 0 Cr.,61.90%,11.30%,18.33%,24.61%,,,,,,,
SBIN,₹ 473896.88 Cr.,,892.46 Cr.,11.11,1.59,₹ 1,1.34%,,,57.50%,,13.01%,8.27%,44.52,₹ 120707.59 Cr.,57.91,13.83,,,
HDFC,₹ 492713.65 Cr.,,182.92 Cr.,31.76,3.88,₹ 2,1.11%,,,0%,-0.4,12.17%,7.53%,,,,,₹ 554862.51 Cr.,₹ 47957.43 Cr.,₹ 13742.18 Cr.
BHARTIARTL,₹ 463431.24 Cr.,₹ 566510.84 Cr.,596.59 Cr.,0,5.7,₹ 5,0.39%,₹ 328.5 Cr.,₹ 103408.1 Cr.,55.12%,9.82%,-4.64%,5.60%,,,,,,,
ADANIENT,₹ 196387.99 Cr.,₹ 200124.61 Cr.,114 Cr.,139.43,14.55,₹ 1,0.06%,₹ 485.21 Cr.,₹ 4221.83 Cr.,72.63%,100.80%,15.39%,20.43%,,,,,,,
LICI,₹ 381175.99 Cr.,₹ 343743.85 Cr.,632.5 Cr.,15.04,11.76,₹ 10,0.25%,₹ 37432.14 Cr.,₹ 0 Cr.,96.50%,34.14,48.44%,48.72%,,,,,,,
ITC,₹ 475953.33 Cr.,₹ 472080.67 Cr.,1241.4 Cr.,28.03,7.4,₹ 1,3.44%,₹ 3877.94 Cr.,₹ 5.28 Cr.,0%,23.87%,25.66%,33.04%,,,,,,,
ATGL,₹ 106846.55 Cr.,₹ 107807.7 Cr.,109.98 Cr.,213.11,37.79,₹ 1,0.03%,₹ 34.32 Cr.,₹ 995.47 Cr.,74.80%,79.16%,23.03%,24.95%,,,,,,,
BAJFINANCE,₹ 388485.78 Cr.,,60.54 Cr.,39.97,8.02,₹ 2,0.31%,,,55.91%,18.45,16.43%,10.81%,,,,,₹ 144276.25 Cr.,₹ 27894.74 Cr.,₹ 6350.49 Cr.
KOTAKBANK,₹ 349464.84 Cr.,,198.64 Cr.,34.22,4.4,₹ 5,0.06%,,,25.95%,,12.68%,13.20%,60.68,₹ 16817.91 Cr.,47.99,22.69,,,
ADANIGREEN,₹ 99580.2 Cr.,₹ 117249.2 Cr.,158.4 Cr.,0,16.71,₹ 10,0%,₹ 369 Cr.,₹ 18038 Cr.,60.75%,331.54%,-3.58%,4.72%,,,,,,,
ASIANPAINT,₹ 271798.29 Cr.,₹ 271505.88 Cr.,95.92 Cr.,72.16,18.44,₹ 1,0.68%,₹ 308.57 Cr.,₹ 16.16 Cr.,52.63%,36.03%,24.66%,33.48%,,,,,,,
LT,₹ 312899.35 Cr.,₹ 326699.13 Cr.,140.54 Cr.,40.39,4.58,₹ 2,0.99%,₹ 6498.51 Cr.,₹ 20298.29 Cr.,0%,15.75%,12.25%,14%,,,,,,,
ADANITRANS,₹ 102669.95 Cr.,₹ 113959.88 Cr.,111.55 Cr.,853.8,10,₹ 10,0%,₹ 388.72 Cr.,₹ 11678.65 Cr.,74.19%,-2.04%,-6.15%,5.71%,,,,,,,
AXISBANK,₹ 262975.53 Cr.,,307.61 Cr.,13.54,2.01,₹ 2,0.12%,,,8.19%,,12.03%,9.16%,45,₹ 33132.22 Cr.,48.83,18.54,,,
HCLTECH,₹ 301094.71 Cr.,₹ 296471.71 Cr.,271.37 Cr.,25.92,6.92,₹ 2,3.78%,₹ 4849 Cr.,₹ 226 Cr.,60.72%,13.92%,25.27%,30.90%,,,,,,,
DMART,₹ 229636.13 Cr.,₹ 229351.82 Cr.,64.78 Cr.,91.21,14.38,₹ 10,0%,₹ 284.31 Cr.,₹ 0 Cr.,74.99%,27.60%,12.36%,16.94%,,,,,,,
MARUTI,₹ 266064.56 Cr.,₹ 263410.26 Cr.,30.21 Cr.,36.63,4.57,₹ 5,0.68%,₹ 3036.2 Cr.,₹ 381.9 Cr.,56.37%,25.54%,7.14%,8.86%,,,,,,,
BAJAJFINSV,₹ 225232.07 Cr.,,159.28 Cr.,304.4,43.4,₹ 1,0.01%,,,60.75%,92.7,10.81%,13.79%,,,,,₹ 0 Cr.,₹ 623.83 Cr.,₹ 424.23 Cr.
SUNPHARMA,₹ 236214.53 Cr.,₹ 240548.28 Cr.,239.93 Cr.,165.73,8.91,₹ 1,1.02%,₹ 534.96 Cr.,₹ 4868.71 Cr.,54.48%,10.41%,-0.39%,2.19%,,,,,,,
TITAN,₹ 221973.17 Cr.,₹ 226310.17 Cr.,88.78 Cr.,71.79,19.68,₹ 1,0.30%,₹ 1049 Cr.,₹ 5386 Cr.,52.90%,32.07%,25.76%,23.68%,,,,,,,
WIPRO,₹ 222944.94 Cr.,₹ 225725.94 Cr.,548.72 Cr.,17.99,3.66,₹ 2,1.48%,₹ 4898.1 Cr.,₹ 7679.1 Cr.,72.94%,18.44%,24.58%,27.65%,,,,,,,
ULTRACEMCO,₹ 210676.22 Cr.,₹ 220307.47 Cr.,28.87 Cr.,36.83,4.11,₹ 10,0.52%,₹ 259.86 Cr.,₹ 9891.11 Cr.,59.96%,17.31%,15.27%,15.17%,,,,,,,
JSWSTEEL,₹ 176070.34 Cr.,₹ 210978.34 Cr.,241.72 Cr.,37.18,2.88,₹ 1,2.38%,₹ 15527 Cr.,₹ 50435 Cr.,45.19%,68%,30.37%,26.88%,,,,,,,
ONGC,₹ 197007.17 Cr.,₹ 203167.84 Cr.,1258.03 Cr.,4.11,0.73,₹ 5,3.02%,₹ 236.23 Cr.,₹ 6396.9 Cr.,58.89%,62.03%,18.25%,18.74%,,,,,,,
ADANIPORTS,₹ 124996.44 Cr.,₹ 163559.7 Cr.,216.01 Cr.,0,4.42,₹ 2,0.86%,₹ 6211.5 Cr.,₹ 44774.76 Cr.,65.13%,-3.91%,1.23%,4.93%,,,,,,,
NTPC,₹ 162952.47 Cr.,₹ 331143.96 Cr.,969.67 Cr.,9.07,1.19,₹ 10,4.16%,₹ 2455.59 Cr.,₹ 170647.08 Cr.,51.10%,17.13%,13.24%,9.51%,,,,,,,
POWERGRID,₹ 149135.18 Cr.,₹ 280829.41 Cr.,697.55 Cr.,9.44,1.74,₹ 10,6.90%,₹ 2971.04 Cr.,₹ 134665.27 Cr.,51.34%,6.01%,23.46%,13.23%,,,,,,,
COALINDIA,₹ 134039.34 Cr.,₹ 133409.65 Cr.,616.27 Cr.,8.67,5.15,₹ 10,7.82%,₹ 629.69 Cr.,₹ 0 Cr.,66.13%,78.35%,67.66%,68.61%,,,,,,,
TATASTEEL,₹ 137207.41 Cr.,₹ 166627.59 Cr.,1222.34 Cr.,7.1,1.06,₹ 1,0.45%,₹ 2855.29 Cr.,₹ 32275.47 Cr.,33.90%,53.35%,30.19%,32.98%,,,,,,,
HINDZINC,₹ 136879.21 Cr.,₹ 134219.21 Cr.,422.53 Cr.,12.6,4.09,₹ 2,5.55%,₹ 5763 Cr.,₹ 3103 Cr.,64.92%,30.10%,28.92%,37.44%,,,,,,,
PIDILITIND,₹ 118594.51 Cr.,₹ 118580.2 Cr.,50.83 Cr.,92.32,17.42,₹ 1,0.43%,₹ 119.31 Cr.,₹ 105 Cr.,69.94%,34.17%,21.29%,27.25%,,,,,,,
LTIM,₹ 143717.27 Cr.,₹ 143057.37 Cr.,29.58 Cr.,51.64,14.83,₹ 1,1.13%,₹ 659.9 Cr.,₹ 0 Cr.,68.69%,24.56%,29.74%,40.12%,,,,,,,
TATAMOTORS,₹ 146104.91 Cr.,₹ 166732.13 Cr.,332.13 Cr.,327.65,7.44,₹ 2,0%,₹ 2605.43 Cr.,₹ 23232.65 Cr.,46.39%,56.63%,-8.93%,1.15%,,,,,,,
SBILIFE,₹ 115065.56 Cr.,₹ 111861.34 Cr.,100.08 Cr.,71.21,9.15,₹ 10,0.17%,₹ 3204.22 Cr.,₹ 0 Cr.,55.45%,3.2,14%,14.51%,,,,,,,
ADANIPOWER,₹ 59840.41 Cr.,₹ 71735.6 Cr.,385.69 Cr.,0,3.57,₹ 10,0%,₹ 254.09 Cr.,₹ 12149.28 Cr.,74.97%,30%,-1.07%,1.91%,,,,,,,
VEDL,₹ 116720.05 Cr.,₹ 155529.05 Cr.,371.72 Cr.,7.01,1.62,₹ 1,14.34%,₹ 7148 Cr.,₹ 45957 Cr.,69.69%,69.01%,22.38%,19.08%,,,,,,,
GRASIM,₹ 108177.11 Cr.,₹ 112255.95 Cr.,65.84 Cr.,38.04,2.22,₹ 2,0.61%,₹ 225.33 Cr.,₹ 4304.17 Cr.,42.75%,68.39%,5.90%,6.25%,,,,,,,
IOC,₹ 113746.58 Cr.,₹ 223662.1 Cr.,1412.12 Cr.,27.05,0.93,₹ 10,10.43%,₹ 882.98 Cr.,₹ 110798.5 Cr.,51.50%,55.46%,20%,16.37%,,,,,,,
HINDALCO,₹ 96517.01 Cr.,₹ 111632.01 Cr.,224.72 Cr.,23.57,1.66,₹ 1,0.93%,₹ 6420 Cr.,₹ 21535 Cr.,34.64%,58.43%,10.52%,13.51%,,,,,,,
AMBUJACEM,₹ 70152.85 Cr.,₹ 66033.28 Cr.,198.56 Cr.,34.2,3.05,₹ 2,1.78%,₹ 4163.07 Cr.,₹ 43.5 Cr.,63.22%,22.80%,9.79%,13.50%,,,,,,,
BRITANNIA,₹ 109191.62 Cr.,₹ 111317.47 Cr.,24.09 Cr.,54.74,41.63,₹ 1,1.25%,₹ 52.29 Cr.,₹ 2178.14 Cr.,50.55%,8.02%,56.31%,47%,,,,,,,
BAJAJ-AUTO,₹ 110192.08 Cr.,₹ 109726.51 Cr.,28.3 Cr.,19.46,4.52,₹ 10,3.60%,₹ 588.34 Cr.,₹ 122.77 Cr.,54.98%,19.48%,19.37%,25%,,,,,,,
SIEMENS,₹ 113778.64 Cr.,₹ 107502.34 Cr.,35.61 Cr.,78.24,9.46,₹ 2,0.31%,₹ 6276.3 Cr.,₹ 0 Cr.,75%,18.44%,11.39%,15.87%,,,,,,,
DABUR,₹ 94700.76 Cr.,₹ 95075.56 Cr.,177.18 Cr.,66.13,14.69,₹ 1,0.97%,₹ 136.18 Cr.,₹ 510.98 Cr.,66.24%,13.85%,26.09%,32.14%,,,,,,,
TECHM,₹ 109976.63 Cr.,₹ 108669.83 Cr.,97.39 Cr.,25.66,4.18,₹ 5,3.99%,₹ 1306.8 Cr.,₹ 0 Cr.,35.19%,17.16%,19.65%,23.81%,,,,,,,
BANKBARODA,₹ 86258.32 Cr.,,517.14 Cr.,7.76,0.9,₹ 2,1.71%,,,63.97%,,8.93%,8%,41.46,₹ 32621.34 Cr.,49.24,15.84,,,
INDUSINDBK,₹ 86483.1 Cr.,,77.58 Cr.,12.89,1.66,₹ 10,0.76%,,,16.51%,,10.20%,10.08%,42.79,₹ 15000.84 Cr.,42.68,18.42,,,
DLF,₹ 90237.49 Cr.,₹ 93675.51 Cr.,247.53 Cr.,57.63,3.25,₹ 2,0.82%,₹ 249.19 Cr.,₹ 3687.21 Cr.,74.95%,3.18%,4.98%,6.74%,,,,,,,
DIVISLAB,₹ 75122.3 Cr.,₹ 72318.62 Cr.,26.55 Cr.,31.67,6.07,₹ 2,1.06%,₹ 2803.68 Cr.,₹ 0 Cr.,51.94%,30.61%,28.13%,35.09%,,,,,,,
GODREJCP,₹ 96348.13 Cr.,₹ 96003.16 Cr.,102.27 Cr.,63.23,10.74,₹ 1,0%,₹ 344.97 Cr.,₹ 0 Cr.,63.21%,11.15%,20.85%,24.92%,,,,,,,
EICHERMOT,₹ 89838.7 Cr.,₹ 87146.12 Cr.,27.35 Cr.,36.98,7.44,₹ 1,0.64%,₹ 2698.56 Cr.,₹ 5.98 Cr.,49.21%,17.45%,15.57%,20.70%,,,,,,,
CIPLA,₹ 82792.79 Cr.,₹ 81364.76 Cr.,80.71 Cr.,33.06,3.42,₹ 2,0.49%,₹ 1428.03 Cr.,₹ 0 Cr.,33.61%,15.83%,12.70%,16.84%,,,,,,,
VBL,₹ 83350.4 Cr.,₹ 86502.99 Cr.,64.96 Cr.,65.62,15.11,₹ 10,0.27%,₹ 24.24 Cr.,₹ 3176.83 Cr.,63.90%,35.26%,11.64%,11.45%,,,,,,,
HAL,₹ 88251.55 Cr.,₹ 73954.72 Cr.,33.44 Cr.,14.53,4.01,₹ 10,1.89%,₹ 14343.61 Cr.,₹ 46.78 Cr.,75.15%,7.59%,29.37%,30.50%,,,,,,,
SHREECEM,₹ 92934.63 Cr.,₹ 94830.55 Cr.,3.61 Cr.,65.12,5.19,₹ 10,0.35%,₹ 118.26 Cr.,₹ 2014.18 Cr.,62.55%,12.92%,14.62%,17.17%,,,,,,,
AWL,₹ 56958.41 Cr.,₹ 55020.76 Cr.,129.97 Cr.,77.75,7.22,₹ 1,0%,₹ 4445.51 Cr.,₹ 2507.86 Cr.,87.94%,0,,,,,,,,,
INDIGO,₹ 72567.67 Cr.,₹ 66347.89 Cr.,38.55 Cr.,0,0,₹ 10,0%,₹ 10116.52 Cr.,₹ 3896.74 Cr.,71.92%,77.12%,0%,-1728.45%,,,,,,,
SBICARD,₹ 71766.52 Cr.,,94.59 Cr.,32,7.58,₹ 10,0.33%,,,69.05%,14.85,23.15%,13.38%,,,,,₹ 0 Cr.,₹ 10677.27 Cr.,₹ 1616.14 Cr.
BEL,₹ 70502.82 Cr.,₹ 63003.68 Cr.,730.98 Cr.,25.33,5.31,₹ 1,1.56%,₹ 7499.14 Cr.,₹ 0 Cr.,51.14%,8.89%,20.61%,27.78%,,,,,,,
BPCL,₹ 71954.11 Cr.,₹ 95801.39 Cr.,216.93 Cr.,0,1.57,₹ 10,4.82%,₹ 834.49 Cr.,₹ 24681.77 Cr.,52.98%,55.78%,17.01%,17.72%,,,,,,,
TATACONSUM,₹ 67469.47 Cr.,₹ 66140.86 Cr.,92.9 Cr.,74.49,5.41,₹ 1,0.83%,₹ 1328.61 Cr.,₹ 0 Cr.,34.45%,10.87%,7.72%,10.29%,,,,,,,
DRREDDY,₹ 75108.59 Cr.,₹ 75283.49 Cr.,16.65 Cr.,31.82,3.84,₹ 5,0.66%,₹ 2030.5 Cr.,₹ 2205.4 Cr.,26.70%,7.91%,9.26%,11.68%,,,,,,,
HAVELLS,₹ 76875.88 Cr.,₹ 74733.73 Cr.,62.65 Cr.,72.1,11.93,₹ 1,0.61%,₹ 2535.84 Cr.,₹ 393.69 Cr.,59.45%,33.19%,21.43%,27.75%,,,,,,,
SRF,₹ 68736.47 Cr.,₹ 71182.86 Cr.,29.64 Cr.,35.37,7.86,₹ 10,0.72%,₹ 328.51 Cr.,₹ 2774.9 Cr.,50.53%,42.43%,21.66%,23.35%,,,,,,,
TATAPOWER,₹ 65408.6 Cr.,₹ 90038.43 Cr.,319.53 Cr.,12.08,4.84,₹ 1,0.85%,₹ 78.55 Cr.,₹ 24708.38 Cr.,46.86%,-15.65%,33.76%,14.15%,,,,,,,
MARICO,₹ 63293.81 Cr.,₹ 63093.81 Cr.,129.3 Cr.,49.92,15.69,₹ 1,1.89%,₹ 295 Cr.,₹ 95 Cr.,59.48%,18.35%,38.59%,45.66%,,,,,,,
ICICIPRULI,₹ 60067.24 Cr.,₹ 60597.3 Cr.,143.86 Cr.,78.99,5.97,₹ 10,0.13%,₹ 669.95 Cr.,₹ 1200 Cr.,73.35%,8.84,8.63%,7.95%,,,,,,,
APOLLOHOSP,₹ 66352.31 Cr.,₹ 67819.61 Cr.,14.38 Cr.,65.91,9.78,₹ 5,0.25%,₹ 556.9 Cr.,₹ 2024.2 Cr.,29.33%,31.04%,10.12%,14.04%,,,,,,,
BAJAJHLDNG,₹ 66926.35 Cr.,,11.13 Cr.,39.08,4.24,₹ 10,1.91%,,,51.36%,383.43,11.09%,11.59%,,,,,₹ 0 Cr.,₹ 1776.46 Cr.,₹ 1630.52 Cr.
MCDOWELL-N,₹ 56301.83 Cr.,₹ 56269.03 Cr.,72.95 Cr.,55.2,9.73,₹ 2,0%,₹ 32.8 Cr.,₹ 0 Cr.,56.73%,18.92%,17.07%,22.72%,,,,,,,
GAIL,₹ 63120.96 Cr.,₹ 67388.77 Cr.,657.51 Cr.,8.55,1.11,₹ 10,6.94%,₹ 2084.95 Cr.,₹ 6352.76 Cr.,51.91%,61.51%,20.28%,24.05%,,,,,,,
PNB,₹ 54724.75 Cr.,,1101.1 Cr.,35.3,0.59,₹ 2,1.29%,,,73.15%,,4.02%,5.28%,46.56,₹ 28694.46 Cr.,49.38,14.5,,,
ICICIGI,₹ 54875.23 Cr.,₹ 54837.59 Cr.,49.11 Cr.,34.2,5.51,₹ 10,0.81%,₹ 292.64 Cr.,₹ 255 Cr.,48.02%,-8.26,15.36%,19.48%,,,,,,,
IOB,₹ 48579.2 Cr.,,1890.24 Cr.,24.28,2.22,₹ 10,0%,,,96.38%,,9.78%,8.47%,43.44,₹ 6311.14 Cr.,48.61,13.83,,,
CANBK,₹ 53271.93 Cr.,,181.41 Cr.,5.86,0.83,₹ 10,2.21%,,,62.93%,,10.50%,11.07%,33.95,₹ 26383.98 Cr.,46.16,14.9,,,
CHOLAFIN,₹ 64059.79 Cr.,,82.2 Cr.,25.59,4.73,₹ 2,0.26%,,,51.49%,5.59,20.27%,9.33%,,,,,₹ 74149.21 Cr.,₹ 10048.29 Cr.,₹ 2146.71 Cr.
YESBANK,₹ 46294.58 Cr.,,2875.44 Cr.,52.46,1.18,₹ 2,0%,,,0%,,3.19%,5.42%,31.12,₹ 6497.85 Cr.,70.12,17.4,,,
JINDALSTEL,₹ 60195.4 Cr.,₹ 70465.41 Cr.,102.01 Cr.,21.23,1.51,₹ 1,0.51%,₹ 3055.82 Cr.,₹ 13325.83 Cr.,61.20%,48.41%,22.69%,24.71%,,,,,,,
ABB,₹ 66457.65 Cr.,₹ 63769.91 Cr.,21.19 Cr.,64.8,13.45,₹ 2,0.17%,₹ 2687.74 Cr.,₹ 0 Cr.,75%,19.12%,13.92%,19.42%,,,,,,,
BERGEPAINT,₹ 55267.77 Cr.,₹ 55576.45 Cr.,97.14 Cr.,66.2,13.49,₹ 1,0.54%,₹ 206.88 Cr.,₹ 515.56 Cr.,75%,28.56%,21.32%,27.17%,,,,,,,
UNIONBANK,₹ 48458.36 Cr.,,683.47 Cr.,6.83,0.63,₹ 10,2.68%,,,83.49%,,7.75%,9.48%,36.54,₹ 27786.46 Cr.,45.74,14.52,,,
HEROMOTOCO,₹ 50670.36 Cr.,₹ 50495.24 Cr.,19.98 Cr.,18.92,2.96,₹ 2,3.76%,₹ 175.12 Cr.,₹ 0 Cr.,34.77%,-5.05%,15.99%,21.15%,,,,,,,
UPL,₹ 57808.05 Cr.,₹ 58648.05 Cr.,75.06 Cr.,31.4,7.98,₹ 2,1.30%,₹ 825 Cr.,₹ 1665 Cr.,30.74%,44.99%,14.71%,17.37%,,,,,,,
TIINDIA,₹ 46760.62 Cr.,₹ 47103.87 Cr.,19.31 Cr.,84.89,15.11,₹ 1,0.14%,₹ 4.82 Cr.,₹ 348.07 Cr.,46.43%,49.43%,19.09%,22.70%,,,,,,,
LODHA,₹ 43376.66 Cr.,₹ 53188.04 Cr.,48.17 Cr.,535.7,3.82,₹ 10,0%,₹ 1020.51 Cr.,₹ 10831.89 Cr.,75%,41.18%,14.31%,9.46%,,,,,,,
PIIND,₹ 49951.67 Cr.,₹ 48897.77 Cr.,15.17 Cr.,43.95,7.27,₹ 1,0.18%,₹ 1321.7 Cr.,₹ 267.8 Cr.,46.09%,16.41%,14.48%,17.11%,,,,,,,
TVSMOTOR,₹ 52442.49 Cr.,₹ 53641.77 Cr.,47.51 Cr.,38.7,8.93,₹ 1,0.34%,₹ 401.29 Cr.,₹ 1600.57 Cr.,50.27%,24.12%,19.87%,22.89%,,,,,,,
INDUSTOWER,₹ 44991.97 Cr.,₹ 49498.77 Cr.,269.49 Cr.,18.27,2.27,₹ 10,6.59%,₹ 980 Cr.,₹ 5486.8 Cr.,69%,98.61%,33.46%,38.77%,,,,,,,
IRCTC,₹ 51992 Cr.,₹ 50260.43 Cr.,80 Cr.,58.15,23.23,₹ 2,0.55%,₹ 1731.57 Cr.,₹ 0 Cr.,62.40%,142%,39.75%,53.93%,,,,,,,
BOSCHLTD,₹ 53131.47 Cr.,₹ 51426.07 Cr.,2.95 Cr.,38.61,4.79,₹ 10,1.16%,₹ 1705.4 Cr.,₹ 0 Cr.,70.54%,21.23%,11.87%,14.91%,,,,,,,
NAUKRI,₹ 45408.22 Cr.,₹ 45276.46 Cr.,12.92 Cr.,128.65,3.74,₹ 10,0.37%,₹ 132.32 Cr.,₹ 0.56 Cr.,38.05%,38.52%,97.44%,109.53%,,,,,,,
ZOMATO,₹ 44307.18 Cr.,₹ 42842.48 Cr.,855.35 Cr.,0,2.17,₹ 1,0%,₹ 1464.7 Cr.,₹ 0 Cr.,0%,110.69%,-9.53%,-8.75%,,,,,,,
MOTHERSON,₹ 54008.08 Cr.,₹ 58721.58 Cr.,677.64 Cr.,50.72,1.71,₹ 1,0.54%,₹ 631.7 Cr.,₹ 5345.2 Cr.,68.16%,45.67%,4.24%,4.44%,,,,,,,
TRENT,₹ 48369.4 Cr.,₹ 48792.4 Cr.,35.55 Cr.,92.25,16.25,₹ 1,0.12%,₹ 74.38 Cr.,₹ 497.38 Cr.,37.01%,89.53%,9.54%,20.97%,,,,,,,
PAGEIND,₹ 43364.14 Cr.,₹ 43080.68 Cr.,1.12 Cr.,63.45,30.14,₹ 10,0.95%,₹ 283.47 Cr.,₹ 0 Cr.,46.12%,37.06%,54.37%,75.23%,,,,,,,
JSWENERGY,₹ 37169.67 Cr.,₹ 38238.34 Cr.,164.47 Cr.,50.49,2.83,₹ 10,0.88%,₹ 203.01 Cr.,₹ 1271.68 Cr.,74.66%,25.72%,4.55%,6.75%,,,,,,,
PGHH,₹ 44448.65 Cr.,₹ 43809.4 Cr.,3.25 Cr.,87.62,50,₹ 10,1.17%,₹ 639.25 Cr.,₹ 0 Cr.,70.64%,9.14%,83.30%,110.39%,,,,,,,
HDFCAMC,₹ 39610.75 Cr.,,21.34 Cr.,28.47,6.94,₹ 5,2.26%,,,62.78%,14.19,27.26%,36.17%,,,,,₹ 0 Cr.,₹ 2115.36 Cr.,₹ 1393.13 Cr.
ACC,₹ 34541.59 Cr.,₹ 27137.41 Cr.,18.78 Cr.,54.54,2.5,₹ 10,3.15%,₹ 7404.18 Cr.,₹ 0 Cr.,56.69%,17.17%,13.54%,18.71%,,,,,,,
INDHOTEL,₹ 45182.91 Cr.,₹ 45119.8 Cr.,142.04 Cr.,71.75,5.27,₹ 1,0.13%,₹ 1005.64 Cr.,₹ 942.53 Cr.,38.19%,76.79%,-0.56%,3.50%,,,,,,,
CONCOR,₹ 36999.4 Cr.,₹ 34111.55 Cr.,60.93 Cr.,32.24,3.26,₹ 5,1.48%,₹ 2887.85 Cr.,₹ 0 Cr.,54.80%,18.94%,10.13%,13.94%,,,,,,,
UBL,₹ 39024.88 Cr.,₹ 38117.14 Cr.,26.44 Cr.,85.45,9.88,₹ 1,0.71%,₹ 907.74 Cr.,₹ 0 Cr.,72.71%,37.52%,9.72%,13.08%,,,,,,,
NYKAA,₹ 39744.77 Cr.,₹ 39555.77 Cr.,285.11 Cr.,454.96,21.55,₹ 1,0%,₹ 220.33 Cr.,₹ 31.33 Cr.,52.34%,0,,,,,,,,,
AUBANK,₹ 40896.21 Cr.,,66.66 Cr.,30.31,3.91,₹ 10,0.08%,,,25.55%,,16.56%,14.01%,37.29,₹ 3234.12 Cr.,57.07,20.99,,,
PATANJALI,₹ 33296.29 Cr.,₹ 34975.15 Cr.,36.2 Cr.,38.84,3.48,₹ 2,0.54%,₹ 2016.29 Cr.,₹ 3695.15 Cr.,80.82%,48.33%,18.03%,16.29%,,,,,,,
SCHAEFFLER,₹ 46000.17 Cr.,₹ 44584.5 Cr.,15.63 Cr.,52.32,11.34,₹ 2,0.82%,₹ 1415.67 Cr.,₹ 0 Cr.,74.13%,47.81%,18.52%,24.96%,,,,,,,
MUTHOOTFIN,₹ 39392.02 Cr.,,40.14 Cr.,11.16,1.96,₹ 10,2.04%,,,73.35%,4.97,23.56%,14.15%,,,,,₹ 0 Cr.,₹ 11082.32 Cr.,₹ 3954.3 Cr.
MAXHEALTH,₹ 42115.95 Cr.,₹ 42042.79 Cr.,97.09 Cr.,66.62,6.15,₹ 10,0%,₹ 376.44 Cr.,₹ 303.28 Cr.,23.78%,67.74%,5.43%,6.94%,,,,,,,
IRFC,₹ 37571.95 Cr.,,1306.85 Cr.,5.78,0.85,₹ 10,4.87%,,,86.36%,28.72,15.84%,5.12%,,,,,₹ 0 Cr.,₹ 20299.26 Cr.,₹ 6089.84 Cr.
ZYDUSLIFE,₹ 47639.39 Cr.,₹ 49999.39 Cr.,101.22 Cr.,37.06,3.62,₹ 1,0.53%,₹ 302.6 Cr.,₹ 2662.6 Cr.,74.98%,2.60%,6.60%,7.98%,,,,,,,
ASHOKLEY,₹ 43718.94 Cr.,₹ 46179.08 Cr.,293.61 Cr.,28.57,5.69,₹ 1,0.67%,₹ 1046.96 Cr.,₹ 3507.1 Cr.,51.53%,41.74%,7.61%,7.69%,,,,,,,
COLPAL,₹ 39577.99 Cr.,₹ 38823.28 Cr.,27.2 Cr.,37.53,20.89,₹ 1,2.75%,₹ 754.71 Cr.,₹ 0 Cr.,51%,5.34%,74.40%,97.56%,,,,,,,
CGPOWER,₹ 48889.99 Cr.,₹ 48779.03 Cr.,152.71 Cr.,74.74,20.2,₹ 2,0%,₹ 413.27 Cr.,₹ 302.31 Cr.,58.12%,104.25%,44.86%,39.41%,,,,,,,
BALKRISIND,₹ 39221.16 Cr.,₹ 41628.49 Cr.,19.33 Cr.,32.77,5.07,₹ 2,1.38%,₹ 35.25 Cr.,₹ 2442.58 Cr.,58.29%,43.57%,21.82%,24.13%,,,,,,,
BHARATFORG,₹ 40152.36 Cr.,₹ 43668.71 Cr.,46.56 Cr.,37.78,5.3,₹ 2,0.81%,₹ 382.84 Cr.,₹ 3899.19 Cr.,45.25%,71.29%,16.51%,14.62%,,,,,,,
NHPC,₹ 40180.14 Cr.,₹ 65037.07 Cr.,1004.5 Cr.,9.78,1.37,₹ 10,4.54%,₹ 1160.71 Cr.,₹ 26017.64 Cr.,70.95%,-1.80%,14.09%,6.71%,,,,,,,
