sombol,Market Cap,Enterprise Value,No. of Shares,P/E,P/B,Face Value,Div. Yield,CASH,DEBT,Promoter Holding,Sales Growth,ROE,ROCE,CASA %,Net Interest Income,Cost To Income %,CAR %,Advances,Operating Revenue,Net Profit
SIRCA,₹ 1772.79 Cr.,₹ 1690.25 Cr.,2.74 Cr.,41.41,6.93,₹ 10,0.31%,₹ 82.54 Cr.,₹ 0 Cr.,67.55%,39.70%,12.99%,17.30%,,,,,,,
LANDMARK,₹ 2424.23 Cr.,₹ 2446.74 Cr.,3.96 Cr.,69.28,2.88,₹ 5,0.06%,₹ 6.21 Cr.,₹ 28.73 Cr.,55.23%,0,,,,,,,,,
ALEMBICLTD,₹ 1672.93 Cr.,₹ 1671.34 Cr.,25.68 Cr.,21.02,1.73,₹ 2,2.76%,₹ 1.59 Cr.,₹ 0 Cr.,70.88%,5.08%,9.31%,10.59%,,,,,,,
TEXRAIL,₹ 1544.98 Cr.,₹ 2082.57 Cr.,32.19 Cr.,182.51,1.16,₹ 1,0.21%,₹ 172.21 Cr.,₹ 709.8 Cr.,58.38%,-3.97%,1.50%,6.71%,,,,,,,
HINDOILEXP,₹ 1959.18 Cr.,₹ 2169.84 Cr.,13.22 Cr.,42.77,2.38,₹ 10,0%,₹ 45.44 Cr.,₹ 256.09 Cr.,0%,31.24%,4.79%,4.58%,,,,,,,
GOCLCORP,₹ 1698.85 Cr.,₹ 1681.33 Cr.,4.96 Cr.,7.4,2.7,₹ 2,1.47%,₹ 20.39 Cr.,₹ 2.87 Cr.,73.83%,24.12%,11.67%,14.50%,,,,,,,
MAYURUNIQ,₹ 2057.2 Cr.,₹ 2059.11 Cr.,4.4 Cr.,20.66,2.82,₹ 5,0.43%,₹ 26.98 Cr.,₹ 28.88 Cr.,59.11%,25.99%,12.55%,16.07%,,,,,,,
ANDHRSUGAR,₹ 1718.59 Cr.,₹ 1738.95 Cr.,13.55 Cr.,8.08,1.29,₹ 2,3.15%,₹ 29.81 Cr.,₹ 50.17 Cr.,47.08%,28.17%,13.51%,17.42%,,,,,,,
VIDHIING,₹ 1619.97 Cr.,₹ 1708.89 Cr.,4.99 Cr.,37.82,6.62,₹ 1,0.12%,₹ 1.46 Cr.,₹ 90.39 Cr.,64.27%,101.59%,31%,33.22%,,,,,,,
CARERATING,₹ 2028.08 Cr.,₹ 1956.81 Cr.,2.97 Cr.,18.98,2.91,₹ 10,2.49%,₹ 71.27 Cr.,₹ 0 Cr.,0%,-0.18%,14.07%,17.41%,,,,,,,
VISHNU,₹ 1658.7 Cr.,₹ 1958.94 Cr.,5.97 Cr.,13.72,5.4,₹ 2,0.03%,₹ 12.61 Cr.,₹ 312.85 Cr.,75%,58.21%,35.49%,22.74%,,,,,,,
GOKULAGRO,₹ 1683.25 Cr.,₹ 1722.39 Cr.,14.31 Cr.,13.58,3.51,₹ 2,0%,₹ 173.66 Cr.,₹ 212.8 Cr.,72.17%,33.46%,30.97%,34.46%,,,,,,,
BEPL,₹ 1733.71 Cr.,₹ 1525.05 Cr.,16.59 Cr.,8.89,1.62,₹ 1,2.86%,₹ 208.66 Cr.,₹ 0 Cr.,56.64%,7.90%,42.07%,56.86%,,,,,,,
SPIC,₹ 1413.26 Cr.,₹ 1660.27 Cr.,20.36 Cr.,5.26,1.63,₹ 10,0.72%,₹ 54.74 Cr.,₹ 301.75 Cr.,53.38%,22.78%,26.14%,20.90%,,,,,,,
